iter	Passed	Remaining
405	7995	9727
406	8012	9706
407	8028	9681
408	8049	9663
409	8069	9643
410	8090	9625
411	8108	9604
412	8131	9588
413	8151	9568
414	8170	9549
415	8187	9525
416	8206	9505
417	8224	9483
418	8245	9465
419	8263	9443
420	8280	9420
421	8298	9399
422	8319	9381
423	8337	9359
424	8360	9344
425	8378	9322
426	8401	9306
427	8418	9283
428	8438	9264
429	8456	9242
430	8474	9222
431	8493	9201
432	8514	9183
433	8531	9160
434	8553	9143
435	8571	9122
436	8591	9102
437	8607	9079
438	8627	9059
439	8643	9036
440	8663	9017
441	8679	8993
442	8699	8974
443	8717	8953
444	8739	8935
445	8757	8914
446	8777	8895
447	8796	8874
448	8803	8842
449	8820	8820
450	8837	8798
451	8856	8778
452	8873	8756
453	8894	8737
454	8912	8716
455	8931	8696
456	8948	8674
457	8968	8655
458	8985	8633
459	9004	8612
460	9021	8591
461	9041	8571
462	9058	8550
463	9079	8531
464	9096	8509
465	9116	8490
466	9134	8469
467	9153	8449
468	9172	8429
469	9192	8410
470	9213	8391
471	9235	8374
472	9252	8352
473	9273	8334
474	9293	8314
475	9311	8294
476	9328	8272
477	9346	8251
478	9365	8231
479	9385	8212
480	9403	8191
481	9424	8173
482	9440	8150
483	9460	8131
484	9475	8108
485	9494	8088
486	9513	8067
487	9532	8048
488	9550	8026
489	9568	8006
490	9585	7984
491	9607	7967
492	9625	7946
493	9645	7927
494	9662	7905
495	9679	7884
496	9696	7862
497	9715	7842
498	9731	7820
499	9751	7801
500	9771	7781
501	9791	7762
502	9808	7741
503	9826	7721
504	9844	7700
505	9863	7680
506	9879	7658
507	9900	7639
508	9917	7618
509	9937	7599
510	9956	7579
511	9977	7560
512	9996	7541
513	10018	7523
514	10035	7502
515	10053	7481
516	10071	7460
517	10091	7441
518	10107	7420
519	10128	7401
520	10144	7379
521	10164	7360
522	10181	7339
523	10201	7320
524	10217	7298
525	10238	7279
526	10257	7259
527	10277	7241
528	10294	7219
529	10314	7200
530	10332	7180
531	10353	7162
532	10371	7141
533	10391	7122
534	10409	7101
535	10429	7082
536	10447	7061
537	10467	7043
538	10483	7021
539	10502	7001
540	10519	6980
541	10537	6960
542	10555	6939
543	10574	6920
544	10592	6899
545	10614	6881
546	10632	6861
547	10652	6842
548	10668	6820
549	10688	6801
550	10705	6780
551	10724	6761
552	10742	6740
553	10761	6721
554	10778	6700
555	10800	6682
556	10817	6661
557	10836	6641
558	10854	6621
559	10872	6601
560	10891	6581
561	10911	6562
562	10931	6543
563	10951	6524
564	10969	6504
565	10989	6485
566	11008	6465
567	11030	6447
568	11047	6426
569	11068	6407
570	11084	6386
571	11102	6366
572	11120	6346
573	11139	6326
574	11156	6305
575	11176	6286
576	11194	6266
577	11215	6247
578	11233	6227
579	11251	6207
580	11270	6188
581	11291	6169
582	11311	6150
583	11333	6132
584	11350	6111
585	11368	6091
586	11386	6071
587	11406	6052
588	11423	6031
589	11444	6013
590	11461	5992
591	11482	5973
592	11497	5952
593	11517	5933
594	11536	5913
595	11557	5894
596	11576	5875
597	11597	5857
598	11616	5837
599	11636	5818
600	11654	5798
601	11675	5779
602	11691	5758
603	11712	5739
604	11729	5719
605	11751	5701
606	11768	5680
607	11788	5661
608	11807	5642
609	11827	5622
610	11846	5603
611	11868	5585
612	11888	5566
613	11911	5548
614	11929	5528
615	11951	5510
616	11970	5490
617	11992	5472
618	12012	5453
619	12036	5435
620	12054	5415
621	12077	5397
622	12095	5378
623	12118	5360
624	12138	5341
625	12161	5323
626	12179	5303
627	12201	5284
628	12219	5264
629	12238	5244
630	12256	5225
631	12275	5205
632	12294	5185
633	12317	5167
634	12338	5149
635	12364	5132
636	12385	5113
637	12411	5096
638	12433	5078
639	12456	5060
640	12473	5039
641	12493	5020
642	12512	5001
643	12531	4981
644	12549	4961
645	12570	4942
646	12589	4923
647	12612	4905
648	12632	4885
649	12652	4866
650	12672	4847
651	12695	4829
652	12716	4810
653	12738	4791
654	12759	4772
655	12779	4753
656	12798	4733
657	12820	4715
658	12840	4696
659	12865	4678
660	12884	4658
661	12908	4640
662	12927	4621
663	12950	4602
664	12967	4582
665	12990	4564
666	13010	4544
667	13031	4525
668	13052	4506
669	13073	4487
670	13096	4469
671	13116	4450
672	13135	4430
673	13161	4413
674	13182	4394
675	13205	4375
676	13223	4355
677	13243	4336
678	13260	4316
679	13283	4297
680	13302	4277
681	13322	4258
682	13338	4237
683	13357	4218
684	13375	4198
685	13395	4178
686	13412	4158
687	13433	4139
688	13451	4119
689	13471	4100
690	13489	4080
691	13511	4061
692	13531	4041
693	13552	4022
694	13571	4003
695	13592	3984
696	13612	3964
697	13633	3945
698	13649	3925
699	13668	3905
700	13687	3885
701	13707	3866
702	13725	3846
703	13745	3826
704	13762	3806
705	13784	3787
706	13804	3768
707	13825	3749
708	13845	3729
709	13870	3711
710	13890	3692
711	13913	3673
712	13931	3653
713	13951	3634
714	13970	3614
715	13989	3594
716	14006	3574
717	14026	3555
718	14044	3535
719	14064	3516
720	14084	3496
721	14106	3477
722	14125	3458
723	14147	3439
724	14166	3419
725	14187	3400
726	14204	3380
727	14225	3360
728	14244	3341
729	14268	3322
730	14288	3303
731	14309	3284
732	14326	3264
733	14350	3245
734	14373	3226
735	14396	3207
736	14416	3188
737	14437	3169
738	14456	3149
739	14475	3129
740	14491	3109
741	14511	3089
742	14532	3070
743	14555	3051
744	14575	3032
745	14598	3013
746	14618	2994
747	14637	2974
748	14655	2954
749	14677	2935
750	14696	2915
751	14716	2896
752	14737	2877
753	14757	2857
754	14778	2838
755	14808	2820
756	14830	2801
757	14855	2782
758	14874	2763
759	14896	2744
760	14916	2724
761	14939	2705
762	14962	2686
763	14984	2667
764	15004	2647
765	15029	2629
766	15049	2609
767	15073	2590
768	15094	2571
769	15120	2552
770	15141	2533
771	15170	2515
772	15192	2496
773	15216	2477
774	15235	2457
775	15257	2438
776	15276	2418
777	15297	2398
778	15316	2379
779	15337	2359
780	15355	2339
781	15376	2320
782	15396	2300
783	15418	2281
784	15435	2261
785	15455	2241
786	15473	2221
787	15491	2201
788	15510	2182
789	15529	2162
790	15548	2142
791	15586	2125
792	15611	2106
793	15634	2087
794	15653	2067
795	15672	2047
796	15692	2027
797	15712	2008
798	15733	1988
799	15756	1969
800	15775	1949
801	15796	1930
802	15815	1910
803	15835	1890
804	15853	1870
805	15875	1851
806	15897	1832
807	15918	1812
808	15936	1792
809	15958	1773
810	15979	1753
811	16002	1734
812	16024	1714
813	16051	1695
814	16075	1676
815	16100	1657
816	16118	1637
817	16140	1618
818	16159	1598
819	16181	1578
820	16205	1559
821	16229	1539
822	16249	1520
823	16270	1500
824	16287	1480
825	16306	1460
826	16324	1440
827	16346	1421
828	16363	1401
829	16386	1381
830	16405	1362
831	16434	1343
832	16456	1323
833	16480	1304
834	16499	1284
835	16520	1264
836	16537	1244
837	16557	1225
838	16573	1205
839	16595	1185
840	16613	1165
841	16636	1145
842	16656	1126
843	16680	1106
844	16703	1087
845	16727	1067
846	16746	1047
847	16763	1027
848	16782	1008
849	16802	988
850	16821	968
851	16842	948
852	16862	929
853	16886	909
854	16910	890
855	16953	871
856	16978	851
857	16998	832
858	17018	812
859	17041	792
860	17062	772
861	17084	753
862	17099	733
863	17122	713
864	17141	693
865	17165	673
866	17189	654
867	17213	634
868	17233	614
869	17257	595
870	17275	575
871	17296	555
872	17317	535
873	17341	515
874	17360	496
875	17381	476
876	17405	456
877	17430	436
878	17453	416
879	17476	397
880	17495	377
881	17515	357
882	17533	337
883	17553	317
884	17573	297
885	17595	278
886	17616	258
887	17639	238
888	17657	218
889	17677	198
890	17696	178
891	17717	158
892	17736	139
893	17757	119
894	17777	99
895	17798	79
896	17819	59
897	17842	39
898	17866	19
899	17892	0
