iter	Poisson
549	-13.38128839
550	-13.38350169
551	-13.38721766
552	-13.38840187
553	-13.39001984
554	-13.39167252
555	-13.39296352
556	-13.39394933
557	-13.39619933
558	-13.39736532
559	-13.39967351
560	-13.40167757
561	-13.40340746
562	-13.40560236
563	-13.40628525
564	-13.4069771
565	-13.40812198
566	-13.40877449
567	-13.41024004
568	-13.41132248
569	-13.41313941
570	-13.41455876
571	-13.41598491
572	-13.41798683
573	-13.41868486
574	-13.41966093
575	-13.42064263
576	-13.42117056
577	-13.42283743
578	-13.42411056
579	-13.42493306
580	-13.42570967
581	-13.42619726
582	-13.42776475
583	-13.42931263
584	-13.43078772
585	-13.43181546
586	-13.4328839
587	-13.43411615
588	-13.43564523
589	-13.43745389
590	-13.43882819
591	-13.44010042
592	-13.44124122
593	-13.4428783
594	-13.443884
595	-13.44518818
596	-13.44666506
597	-13.4497453
598	-13.45155577
599	-13.45252236
600	-13.45332723
601	-13.45514717
602	-13.45661399
603	-13.45863373
604	-13.45917586
605	-13.46027605
606	-13.4610198
607	-13.46198976
608	-13.46310909
609	-13.46392742
610	-13.46505796
611	-13.46651689
612	-13.46765479
613	-13.46902573
614	-13.47018732
615	-13.47122192
616	-13.47276841
617	-13.47341099
618	-13.4752529
619	-13.47670786
620	-13.47752799
621	-13.47850599
622	-13.47986654
623	-13.48117241
624	-13.48247205
625	-13.48391213
626	-13.48479884
627	-13.48566498
628	-13.4869574
629	-13.48790692
630	-13.48940538
631	-13.49166735
632	-13.49303187
633	-13.49477238
634	-13.49670726
635	-13.49736823
636	-13.49843955
637	-13.49999123
638	-13.50109893
639	-13.5021216
640	-13.50307848
641	-13.50393303
642	-13.50506864
643	-13.50587294
644	-13.50721611
645	-13.50852081
646	-13.50918661
647	-13.51037263
648	-13.51234356
649	-13.51324501
650	-13.51575484
651	-13.51731602
652	-13.51873849
653	-13.51999617
654	-13.52146348
655	-13.5229452
656	-13.52423664
657	-13.5257855
658	-13.52716873
659	-13.52839098
660	-13.53017947
661	-13.53115471
662	-13.53245506
663	-13.53374144
664	-13.53427745
665	-13.5356991
666	-13.53612432
667	-13.53715007
668	-13.53903833
669	-13.54006167
670	-13.54141721
671	-13.54219284
672	-13.54315101
673	-13.54546246
674	-13.54647337
675	-13.5477139
676	-13.54918091
677	-13.55109533
678	-13.55225645
679	-13.55337114
680	-13.55464605
681	-13.5562732
682	-13.5570511
683	-13.55857829
684	-13.55962912
685	-13.56124736
686	-13.56244445
687	-13.5637469
688	-13.56501681
689	-13.56678645
690	-13.56768024
691	-13.56841164
692	-13.56996141
693	-13.57150028
694	-13.57271498
695	-13.57391499
696	-13.57486447
697	-13.57526449
698	-13.57567883
699	-13.57684576
700	-13.57856594
701	-13.57946004
702	-13.58032787
703	-13.58134337
704	-13.58183421
705	-13.58329059
706	-13.58428091
707	-13.58489592
708	-13.58583594
709	-13.58746292
710	-13.58864602
711	-13.59105653
712	-13.59149609
713	-13.59230074
714	-13.59353522
715	-13.59486075
716	-13.59537946
717	-13.59733735
718	-13.59811573
719	-13.59902392
720	-13.60055083
721	-13.6012077
722	-13.60179917
723	-13.60409903
724	-13.60526934
725	-13.6063046
726	-13.6070884
727	-13.60814167
728	-13.60948692
729	-13.61100723
730	-13.61267997
731	-13.61363007
732	-13.6142831
733	-13.61540593
734	-13.6172504
735	-13.61841908
736	-13.61937588
737	-13.62069573
738	-13.62182987
739	-13.62297306
740	-13.62338015
741	-13.6246761
742	-13.62688499
743	-13.62859558
744	-13.62945389
745	-13.63044047
746	-13.6321966
747	-13.63314676
748	-13.63496413
749	-13.63642356
750	-13.63739174
751	-13.63768506
752	-13.63917277
753	-13.63993325
754	-13.64084001
755	-13.64190301
756	-13.64246316
757	-13.64336604
758	-13.64425667
759	-13.6453187
760	-13.64623359
761	-13.64765819
762	-13.64868919
763	-13.64971524
764	-13.65075086
765	-13.65159748
766	-13.65213123
767	-13.65281993
768	-13.65380739
769	-13.65534615
770	-13.65633925
771	-13.65729751
772	-13.65864587
773	-13.65983292
774	-13.66052585
775	-13.66098798
776	-13.66220227
777	-13.662682
778	-13.6636312
779	-13.66470427
780	-13.66683039
781	-13.66786023
782	-13.66924491
783	-13.67058832
784	-13.67121723
785	-13.67239974
786	-13.67382241
787	-13.67430661
788	-13.67524732
789	-13.67619657
790	-13.67789809
791	-13.67885361
792	-13.68051304
793	-13.68196566
794	-13.68271629
795	-13.68310915
796	-13.68417959
797	-13.68486463
798	-13.6863429
799	-13.68764
800	-13.68865363
801	-13.68913973
802	-13.69020383
803	-13.69065642
804	-13.69217521
805	-13.6933358
806	-13.69517145
807	-13.69578815
808	-13.69630104
809	-13.69693255
810	-13.69794051
811	-13.69976558
812	-13.70045209
813	-13.70173086
814	-13.70301315
815	-13.70514088
816	-13.70571661
817	-13.70757052
818	-13.70828807
819	-13.70903206
820	-13.70971864
821	-13.71226293
822	-13.71327749
823	-13.71379723
824	-13.7144263
825	-13.71515939
826	-13.71568856
827	-13.71703507
828	-13.71755265
829	-13.71918282
830	-13.72018009
831	-13.72105244
832	-13.72143028
833	-13.72192944
834	-13.72309267
835	-13.72364782
836	-13.72430151
837	-13.72552868
838	-13.72687221
839	-13.72787684
840	-13.72858392
841	-13.72982366
842	-13.73103619
843	-13.73231117
844	-13.73440742
845	-13.73552609
846	-13.73713469
847	-13.7373382
848	-13.73814971
849	-13.73959824
850	-13.74055147
851	-13.74107325
852	-13.74235665
853	-13.74312625
854	-13.74393494
855	-13.74444252
856	-13.74567873
857	-13.74618018
858	-13.74672823
859	-13.74722699
860	-13.74830433
861	-13.74968912
862	-13.75040477
863	-13.75200168
864	-13.75282987
865	-13.7540184
866	-13.75607679
867	-13.7575832
868	-13.75845358
869	-13.76011601
870	-13.76125478
871	-13.76298138
872	-13.7640028
873	-13.76497797
874	-13.766441
875	-13.76719005
876	-13.76892793
877	-13.76974572
878	-13.77124677
879	-13.7731938
880	-13.77464934
881	-13.77518041
882	-13.7759945
883	-13.77685088
884	-13.77838816
885	-13.77916238
886	-13.78065027
887	-13.78148519
888	-13.78235281
889	-13.78359017
890	-13.78440101
891	-13.78511514
892	-13.78619564
893	-13.78749003
894	-13.7885419
895	-13.7898577
896	-13.7909453
897	-13.79169269
898	-13.79282868
899	-13.79431367
